titre,entreprise,lieu,description,date_publication,lien,type_contrat,secteur,experience_requise,date_expiration
"NOSYCOM (Antsahavola Antananarivo) recrute des : TELESECRETAIRES MÉDICALES FRANCOPHONES POLYVALENTES (Femme) (appels entrants). Votre mission sera de gérer les appels, fixer les rendez-vous, noter les…",,,"TÉLÉ-SECRÉTAIRE FRANCOPHONE POLYVALENTE
NOSYCOM
Contrat CDI

                NOSYCOM (Antsahavola Antananarivo) recrute des : TELESECRETAIRES MÉDICALES FRANCOPHONES POLYVALENTES (Femme) (appels entrants). Votre mission sera de gérer les appels, fixer les rendez-vous, noter les…",urgent,https://www.portaljob-madagascar.com/emploi/view/nosycom72-tele-secretaire-francophone-polyvalente161625,,,,
- Constituer et développer un portefeuille clients - Démarcher et prospecter des acheteurs potentiels aux besoins et caractéristiques correspondants aux biens disponibles - Organiser les rendez-vous avec…,,,"COMMERCIALE IMMOBILIER
ARTEMIS
Contrat CDI

                - Constituer et développer un portefeuille clients - Démarcher et prospecter des acheteurs potentiels aux besoins et caractéristiques correspondants aux biens disponibles - Organiser les rendez-vous avec…",urgent,https://www.portaljob-madagascar.com/emploi/view/groupe-talys-commerciale-immobilier162527,,,,
"-	Accueillir et orienter les clients
-	Gérer les opérations quotidiennes de la caisse
-	Assister les clients de manière courtoise et professionnelle en cas de problème",,,"CAISSIER 
SANIFER
Contrat CDI

                -	Accueillir et orienter les clients
-	Gérer les opérations quotidiennes de la caisse
-	Assister les clients de manière courtoise et professionnelle en cas de problème",urgent,https://www.portaljob-madagascar.com/emploi/view/groupe-talys-caissier162526,,,,
- vérifier les mouvements des comptes sur les entrées et sorties du fond de caisse ; - Configurer le système de traitement des données comptables; - Participer à la tenue des comptes et à la préparation…,,,"ASSISTANTE ADMINISTRATIVE ET COMPTABLE (F) -réf:ASS-ADMINCO/RH022025
Anonyme
Contrat CDI

                - vérifier les mouvements des comptes sur les entrées et sorties du fond de caisse ; - Configurer le système de traitement des données comptables; - Participer à la tenue des comptes et à la préparation…",urgent,https://www.portaljob-madagascar.com/emploi/view/immorama-sci18-assistante-administrative-et-comptable-f-ref-ass-adminco-rh022025162424,,,,
"- Soutenir la responsable marketing et communication dans les divers projets (événements, animation…) ; - Se charger des tâches administratives quotidiennes pour assurer la fonctionnalité et la coordination…",,,"ASSISTANTE COMMUNICATION & EVENT (F) -réf:ASS/COM&EVENT032025
SCI (Société avec diverses activités)
Contrat CDI

                - Soutenir la responsable marketing et communication dans les divers projets (événements, animation…) ; - Se charger des tâches administratives quotidiennes pour assurer la fonctionnalité et la coordination…",urgent,https://www.portaljob-madagascar.com/emploi/view/immorama-sci18-assistante-communication-event-f-ref-ass-com-event032025162423,,,,
Nous recherchons un(e) Chef de Projet pour piloter la sous-traitance de dossiers de saisie comptable pour des cabinets d'expertise français. Vous aurez pour mission principale d’assurer le bon déroulement…,,,"CHEF DE PROJET COMPTABLE-réf:REC 2025/ CP
OWORKERS
Contrat CDI

                Nous recherchons un(e) Chef de Projet pour piloter la sous-traitance de dossiers de saisie comptable pour des cabinets d'expertise français. Vous aurez pour mission principale d’assurer le bon déroulement…",urgent,https://www.portaljob-madagascar.com/emploi/view/oworkers-sarlu-chef-de-projet-comptable-ref-rec-2025-cp162262,,,,
"- Prise en charge des réservations par appel, chat et par mail - Gestion des réservations des sites partenaires ( Booking, Expedia, etc ... ) - Coordination avec les services internes de l'hôtel…                        
Date limite : 31/03/2025",,,"ASSISTANT VOYAGE BILINGUE (FR/EN) -réf:AVB 03-2025
DRC Solutions 
Contrat CDI

                - Prise en charge des réservations par appel, chat et par mail - Gestion des réservations des sites partenaires ( Booking, Expedia, etc ... ) - Coordination avec les services internes de l'hôtel…                        
Date limite : 31/03/2025",urgent,https://www.portaljob-madagascar.com/emploi/view/drc-assistant-voyage-bilingue-fr-en-ref-avb-03-2025162274,,,,
Notre société d’outsourcing recherche plusieurs développeurs confirmés Full Stack pour rejoindre notre équipe dynamique. Vous interviendrez sur des projets variés pour nos clients.,,,"Développeur Full Stack Confirmé (Angular, Node.js, MySQL) - réf : DEV_1124
Société d'outsourcing
Contrat CDI

                Notre société d’outsourcing recherche plusieurs développeurs confirmés Full Stack pour rejoindre notre équipe dynamique. Vous interviendrez sur des projets variés pour nos clients.",urgent,https://www.portaljob-madagascar.com/emploi/view/eludes-services-developpeur-full-stack-confirme-angular-node-js-mysql-ref-dev-1124161886,,,,
"Sous la responsabilité du.de la chef.fe de projet WASH/Contingence, l’assistant.e chef.fe de projet assure la mise en œuvre et le suivi des activités du projet au niveau de la base d’Ampanihy, en conformité…",,,"ASSISTANT CHEF DE PROJET WASH (EAU HYGIENE ASSAINISSEMENT) / CONTINGENCE H/F
SIF
Contrat CDD

                Sous la responsabilité du.de la chef.fe de projet WASH/Contingence, l’assistant.e chef.fe de projet assure la mise en œuvre et le suivi des activités du projet au niveau de la base d’Ampanihy, en conformité…","11
Mars
2025",https://www.portaljob-madagascar.com/emploi/view/secours-islamique-france-assistant-chef-de-projet-wash-eau-hygiene-assainissement-contingence-h-f162779,,,,
"Superviser les interactions des agents avec les clients par mail en assurant la qualité des échanges. Analyser et évaluer les performances des agents via des outils de supervision et des critères définis.…                        
Date limite : 15/03/2025",,,"Superviseur Mailing-réf:SM - MARS25
Cart'in Madagascar
Contrat CDI

                Superviser les interactions des agents avec les clients par mail en assurant la qualité des échanges. Analyser et évaluer les performances des agents via des outils de supervision et des critères définis.…                        
Date limite : 15/03/2025","11
Mars
2025

urgent",https://www.portaljob-madagascar.com/emploi/view/nexthope-superviseur-mailing-ref-sm-mars25162778,,,,
"Le Responsable SCOPE aura pour missions de : Gestion et administration du système SCOPE  Superviser l'enregistrement des bénéficiaires dans la base de données SCOPE.  Assurer la mise à jour et…                        
Date limite : 14/03/2025",,,"RESPONSABLE SCOPE-réf:AINA/MIARO/RS/2025/004
ONG AINA BEKILY 
Contrat 10 Mois

                Le Responsable SCOPE aura pour missions de : Gestion et administration du système SCOPE  Superviser l'enregistrement des bénéficiaires dans la base de données SCOPE.  Assurer la mise à jour et…                        
Date limite : 14/03/2025","11
Mars
2025

urgent",https://www.portaljob-madagascar.com/emploi/view/ong-aina55-responsable-scope-ref-aina-miaro-rs-2025-004162777,,,,
"Développement et mise en œuvre des stratégies de changement de comportement  Élaborer et mettre en place une stratégie de changement de comportement adaptée aux réalités locales.  Développeur des outils…                        
Date limite : 14/03/2025",,,"SPÉCIALISTE EN CHANGEMENT DE COMPORTEMENT -réf:AINA/MIARO/SCC/2025/005
ONG AINA BEKILY 
Contrat CDD

                Développement et mise en œuvre des stratégies de changement de comportement  Élaborer et mettre en place une stratégie de changement de comportement adaptée aux réalités locales.  Développeur des outils…                        
Date limite : 14/03/2025","11
Mars
2025

urgent",https://www.portaljob-madagascar.com/emploi/view/ong-aina55-specialiste-en-changement-de-comportement-ref-aina-miaro-scc-2025-005162776,,,,
"Gestion administrative et financière  Assurer la gestion des documents administratifs liés au projet (contrats, factures, bons de commande, rapports financiers).  Préparer et suivre les demandes de…                        
Date limite : 14/03/2025",,,"Assistant(e) Administratif, financier et logistique (Last Mile)-réf:AINA/MIARO/AF-LM/2025/006
ONG AINA BEKILY
Contrat CDD

                Gestion administrative et financière  Assurer la gestion des documents administratifs liés au projet (contrats, factures, bons de commande, rapports financiers).  Préparer et suivre les demandes de…                        
Date limite : 14/03/2025","11
Mars
2025

urgent",https://www.portaljob-madagascar.com/emploi/view/ong-aina55-assistant-e-administratif-financier-et-logistique-last-mile-ref-aina-miaro-af-lm-2025-006162775,,,,
"Vous êtes créatif, polyvalent, et passionné par la création visuelle et motion design ? Rejoignez la Team ARENA, une équipe dynamique en pleine croissance ! Nous recherchons un(e) Graphiste Multimédia…",,,"GRAPHISTE MULTIMEDIA -réf:REC 2025/ GRAPHISTE 
ARENA BUSINESS CENTER
Contrat CDI

                Vous êtes créatif, polyvalent, et passionné par la création visuelle et motion design ? Rejoignez la Team ARENA, une équipe dynamique en pleine croissance ! Nous recherchons un(e) Graphiste Multimédia…","11
Mars
2025

urgent",https://www.portaljob-madagascar.com/emploi/view/arena-business-center-graphiste-multimedia-ref-rec-2025-graphiste162760,,,,
1. Développement de stratégie marketing : - Élaborer et mettre en place des plans marketing en accord avec les objectifs de l'entreprise. - Analyser les tendances du marché et les comportements des…,,,"RESPONSABLE MARKETING-réf:RM2025
KOTEV
Contrat CDI

                1. Développement de stratégie marketing : - Élaborer et mettre en place des plans marketing en accord avec les objectifs de l'entreprise. - Analyser les tendances du marché et les comportements des…","11
Mars
2025",https://www.portaljob-madagascar.com/emploi/view/kotev-responsable-marketing-ref-rm2025162759,,,,
"Vous êtes passionnée par l’univers de la beauté et du bien-être ? Nous recherchons une esthéticienne polyvalente pour rejoindre notre équipe dynamique ! Vos missions : ✔ Soins du visage adaptés aux différents…                        
Date limite : 11/04/2025",,,"Esthéticienne polyvalente-réf:EST11/03
261Human Resources
Contrat CDI

                Vous êtes passionnée par l’univers de la beauté et du bien-être ? Nous recherchons une esthéticienne polyvalente pour rejoindre notre équipe dynamique ! Vos missions : ✔ Soins du visage adaptés aux différents…                        
Date limite : 11/04/2025","11
Mars
2025

urgent",https://www.portaljob-madagascar.com/emploi/view/261humanresources-estheticienne-polyvalente-ref-est11-03162758,,,,
"Rédaction et Intégration Produit - Rédiger des descriptions produits attractives et précises pour notre site web. - Intégrer les produits dans notre système de gestion de contenu, en veillant à la qualité…                        
Date limite : 31/05/2025",,,"Spécialiste E-commerce et Relation Client (Mode)-réf:DOVmode
DOVEMA
Contrat CDI

                Rédaction et Intégration Produit - Rédiger des descriptions produits attractives et précises pour notre site web. - Intégrer les produits dans notre système de gestion de contenu, en veillant à la qualité…                        
Date limite : 31/05/2025","11
Mars
2025",https://www.portaljob-madagascar.com/emploi/view/dovema54-specialiste-e-commerce-et-relation-client-mode-ref-dovmode162757,,,,
"La secrétaire particulière du PDG est un support clé dans la gestion quotidienne du dirigeant. Elle est responsable de l’organisation de son agenda, de la communication interne et externe, ainsi que de…",,,"Secrétaire Particulière du PDG
GROUPE ANKARANA 
Contrat CDI

                La secrétaire particulière du PDG est un support clé dans la gestion quotidienne du dirigeant. Elle est responsable de l’organisation de son agenda, de la communication interne et externe, ainsi que de…","11
Mars
2025

urgent",https://www.portaljob-madagascar.com/emploi/view/groupe-ankarana-secretaire-particuliere-du-pdg162756,,,,
"- Assurer l’entretien des machines mécaniques (graissage, alignement, assemblage). - Effectuer divers travaux de soudage (TIG, MMA, autogène). - Suivre et relever les données des machines de production…                        
Date limite : 06/04/2025",,,"MECANICIEN-SOUDEUR-réf:MEC-SOUD/MB-03/25
MABEL
Contrat CDI

                - Assurer l’entretien des machines mécaniques (graissage, alignement, assemblage). - Effectuer divers travaux de soudage (TIG, MMA, autogène). - Suivre et relever les données des machines de production…                        
Date limite : 06/04/2025","11
Mars
2025

urgent",https://www.portaljob-madagascar.com/emploi/view/id-rental35-mecanicien-soudeur-ref-mec-soud-mb-03-25162755,,,,
"- Assurer l'entretien préventif des installations frigorifiques. - Effectuer les divers travaux de dépannage et d'amélioration des circuits frigorifiques. - Assurer l'entretien des coffrets…                        
Date limite : 06/04/2025",,,"FRIGORISTE--réf:FRIG-MB/03/25
MABEL
Contrat CDI

                - Assurer l'entretien préventif des installations frigorifiques. - Effectuer les divers travaux de dépannage et d'amélioration des circuits frigorifiques. - Assurer l'entretien des coffrets…                        
Date limite : 06/04/2025","11
Mars
2025

urgent",https://www.portaljob-madagascar.com/emploi/view/id-rental35-frigoriste-ref-frig-mb-03-25162753,,,,
